recommendation_rank,job_id,company_name,company_code,job_title,source_sheet,source_row,matched_profile_skills,simulated_skill_fit_reward,bandit_q_value,selection_count,target_profile,reward_definition,method_boundary
80,JOB_0111,东方财富,300059.SZ,服务端工程师 (Java),1-4,114,SQL,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
81,JOB_0127,金证股份,600446.SH,Java开发工程师,1-4,131,金融,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
82,JOB_0138,金证股份,600446.SH,Java开发工程师,1-4,142,SQL,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
83,JOB_0164,天阳科技,300872.SZ,Java 开发（银行驻场）,9-12,3,SQL,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
84,JOB_0184,中科软,603927.SH,Java 开发工程师,9-12,23,SQL,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
85,JOB_0191,中科软,603927.SH,产品经理,9-12,30,数据分析,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
86,JOB_0208,宇信科技,300674.SZ,中级软件工程师(J11919),5-8,15,SQL,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
87,JOB_0213,宇信科技,300674.SZ,中级系统工程师(J11841),5-8,20,SQL,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
88,JOB_0239,神州信息,000555.SZ,软件测试工程师(J22212),5-8,46,SQL,0.125,0.08404,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
89,JOB_0024,同花顺,300033.SZ,数据分析,1-4,26,SQL、数据分析、统计,0.375,0.075,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
90,JOB_0030,同花顺,300033.SZ,ACM专项岗位—AI工程师,1-4,32,Python、金融、大模型,0.375,0.075,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
91,JOB_0109,东方财富,300059.SZ,Java服务端开发工程师 (AI应用方向),1-4,112,SQL、金融、大模型,0.375,0.075,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
92,JOB_0054,同花顺,300033.SZ,算法博士（全球AIME计划）,1-4,56,大模型,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
93,JOB_0058,同花顺,300033.SZ,AI技术总监,1-4,60,大模型,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
94,JOB_0076,同花顺,300033.SZ,算法专家（大模型/AIGC等需求方向）,1-4,78,大模型,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
95,JOB_0078,同花顺,300033.SZ,Java技术专家/主管,1-4,80,SQL,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
96,JOB_0093,同花顺,300033.SZ,算法工程师（人才计划 金融Agent）,1-4,95,金融,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
97,JOB_0098,东方财富,300059.SZ,数据编辑 (MJ001940),1-4,101,SQL,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
98,JOB_0123,东方财富,300059.SZ,Java服务端开发工程师（证券）,1-4,126,SQL,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
99,JOB_0159,拓尔思,300229.SZ,交互设计师（可转岗产品经理）,13-15,18,金融,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
100,JOB_0180,科蓝软件,300663.SZ,金融业务分析师,9-12,19,金融,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
101,JOB_0189,中科软,603927.SH,自动化测试开发工程师,9-12,28,Python,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
102,JOB_0202,宇信科技,300674.SZ,中级业务分析师(J11964),5-8,9,金融,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
103,JOB_0211,宇信科技,300674.SZ,监管报送产品经理(J11557),5-8,18,SQL,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
104,JOB_0223,宇信科技,300674.SZ,【校招】销售管培生(J12452),5-8,30,金融,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
105,JOB_0231,神州信息,000555.SZ,中级java开发工程师(J17189),5-8,38,SQL,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
106,JOB_0244,长亮科技,300348.SZ,销售经理（大数据产品）,5-8,51,数据分析,0.125,0.0738,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
107,JOB_0029,同花顺,300033.SZ,AI Agent 工程师 / 全栈,1-4,31,风控,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
108,JOB_0036,同花顺,300033.SZ,ACM工程开发——摘星计划,1-4,38,大模型,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
109,JOB_0040,同花顺,300033.SZ,AI研发-寻找ACMer,1-4,42,大模型,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
110,JOB_0046,同花顺,300033.SZ,算法博士（实习/社招）,1-4,48,统计,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
111,JOB_0091,同花顺,300033.SZ,推理引擎开发专家/优化专家（算力方向）,1-4,93,大模型,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
112,JOB_0094,同花顺,300033.SZ,LLM推理引擎研发工程师,1-4,96,大模型,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
113,JOB_0100,东方财富,300059.SZ,数据编辑,1-4,103,SQL,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
114,JOB_0112,东方财富,300059.SZ,服务端开发工程师Java (证券交易),1-4,115,SQL,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
115,JOB_0124,金证股份,600446.SH,DevOps工程师,1-4,128,Python,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
116,JOB_0130,金证股份,600446.SH,Java开发工程师,1-4,134,SQL,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
117,JOB_0133,金证股份,600446.SH,高级java开发,1-4,137,SQL,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
118,JOB_0148,新致软件,688590.SH,AI 产品经理,13-15,7,金融,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
119,JOB_0156,拓尔思,300229.SZ,AI 产品经理,13-15,15,金融,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
120,JOB_0157,拓尔思,300229.SZ,产品经理,13-15,16,金融,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
121,JOB_0165,天阳科技,300872.SZ,初级 java 开发工程师,9-12,4,SQL,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
122,JOB_0183,京北方,002987.SZ,中级 Java 开发工程师,9-12,22,金融,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
123,JOB_0200,宇信科技,300674.SZ,高级业务专家,5-8,7,金融,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
124,JOB_0201,宇信科技,300674.SZ,高级业务专家(J11951),5-8,8,金融,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
125,JOB_0210,宇信科技,300674.SZ,信贷部门-技术岗(J11782),5-8,17,金融,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
126,JOB_0212,宇信科技,300674.SZ,高级业务分析师(J11985),5-8,19,数据分析,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
127,JOB_0230,神州信息,000555.SZ,高级java组长(J16069),5-8,37,SQL,0.125,0.061,3,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
128,JOB_0114,东方财富,300059.SZ,数据编辑 (MJ001945),1-4,117,SQL、金融,0.25,0.05,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
129,JOB_0128,金证股份,600446.SH,C++高级开发工程师（平台/AI方向）,1-4,132,SQL、金融,0.25,0.05,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
130,JOB_0143,新致软件,688590.SH,软件测试工程师（含 4 级功能测试 / 5 级数据测试 / 4-5 级自动化测试方向）,13-15,2,Python、SQL,0.25,0.05,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
131,JOB_0001,恒生电子,600570.SH,数据开发工程师,1-4,2,SQL,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
132,JOB_0027,同花顺,300033.SZ,AIME人才计划算法工程师,1-4,29,Python,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
133,JOB_0043,同花顺,300033.SZ,行情后台开发工程师,1-4,45,金融,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
134,JOB_0062,同花顺,300033.SZ,ACM工程开发——摘星计划,1-4,64,大模型,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
135,JOB_0099,东方财富,300059.SZ,服务端-AI应用开发-南京-27届暑期实习,1-4,102,Python,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
136,JOB_0116,东方财富,300059.SZ,AI Agent 架构师 (MJ002936),1-4,119,金融,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
137,JOB_0131,金证股份,600446.SH,C++主管开发工程师,1-4,135,SQL,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
138,JOB_0136,金证股份,600446.SH,C++开发工程师,1-4,140,SQL,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
139,JOB_0141,金证股份,600446.SH,【2027届】C/C++开发实习生,1-4,145,SQL,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
140,JOB_0182,京北方,002987.SZ,高级全栈开发工程师,9-12,21,SQL,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
141,JOB_0205,宇信科技,300674.SZ,中级软件工程师(J11919),5-8,12,SQL,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
142,JOB_0214,宇信科技,300674.SZ,高级UED设计师(J11847),5-8,21,金融,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
143,JOB_0226,宇信科技,300674.SZ,【校招】业务分析师(J12465),5-8,33,金融,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
144,JOB_0240,神州信息,000555.SZ,软件工程师(J22130),5-8,47,SQL,0.125,0.045,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
145,JOB_0014,同花顺,300033.SZ,大模型算法工程师-AIME计划,1-4,16,大模型,0.125,0.025,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
146,JOB_0055,同花顺,300033.SZ,大模型算法工程师,1-4,57,大模型,0.125,0.025,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
147,JOB_0059,同花顺,300033.SZ,ACM专项—大模型开发工程师,1-4,61,大模型,0.125,0.025,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
148,JOB_0140,金证股份,600446.SH,2026届C++开发实习生,1-4,144,SQL,0.125,0.025,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
149,JOB_0153,拓尔思,300229.SZ,AI 产品工程师,13-15,12,金融,0.125,0.025,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
150,JOB_0179,科蓝软件,300663.SZ,架构师,9-12,18,SQL,0.125,0.025,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
151,JOB_0216,宇信科技,300674.SZ,东部数据一部服务类(J11846),5-8,23,SQL,0.125,0.025,1,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
152,JOB_0241,神州信息,000555.SZ,27届提前批-Java开发工程师（上海）(J22222),5-8,48,SQL、金融,0.25,0.0,0,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
153,JOB_0003,恒生电子,600570.SH,高级C++开发工程师,1-4,4,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
154,JOB_0005,恒生电子,600570.SH,Java技术专家-资产管理,1-4,6,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
155,JOB_0006,恒生电子,600570.SH,C++开发工程师-经纪业务,1-4,7,,0.0,0.0,7,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
156,JOB_0007,恒生电子,600570.SH,C++开发工程师-经纪业务,1-4,8,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
157,JOB_0009,恒生电子,600570.SH,C++开发工程师-经纪业务,1-4,10,,0.0,0.0,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
158,JOB_0010,恒生电子,600570.SH,模型后训练技术负责人（团队负责人）,1-4,11,,0.0,0.0,2,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
159,JOB_0011,恒生电子,600570.SH,C++开发工程师-经纪业务,1-4,12,,0.0,0.0,6,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
160,JOB_0013,同花顺,300033.SZ,算法博士（NLP/CV/语音/博士专项）,1-4,15,,0.0,0.0,4,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
161,JOB_0016,同花顺,300033.SZ,C++开发专家,1-4,18,,0.0,0.0,5,金融数据与AI应用学习者（模拟画像）,每个候选岗位在职位名称+技能要求中命中的模拟画像技能数 / 8；不使用真实点击、投递或录用反馈。,epsilon-greedy 多臂老虎机模拟；奖励是确定性技能匹配，非真实用户反馈。
